Schooling,Year, thinness  1-19 years, thinness 5-9 years,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles ,Income composition of resources,under-five deaths ,Polio,Total expenditure,Population, HIV/AIDS,GDP,Life
6.8,2005,1,9.9,382,92,5.04,98.19145117,,258,0.426,148,39,4.1,19552542,2.6,1443.991929,47.4
6.4,2004,1.2,1.1,386,94,3.53,8.8667775,,29,0.415,152,4,4.71,18865716,2.5,141.86844,47.1
5.9,2003,1.4,1.3,388,95,3.49,35.93349121,,1196,0.406,155,4,4.41,1823369,2.4,779.468356,46.8
5.5,2002,1.5,1.5,391,96,2.82,24.037942,,11945,0.401,157,37,3.63,17572649,2.3,711.181716,46.5
5.1,2001,1.7,1.7,44,97,2.58,30.35993647,,9046,0.391,159,41,5.38,16983266,2.1,526.168743,45.7
4.6,2000,1.9,1.9,48,97,1.85,15.88149254,,2219,0.382,160,3,2.79,1644924,2,555.2969419,45.3
13.9,2015,3.3,3.3,13,0,,0,99,0,0.784,0,86,,,0.2,13566.9541,76.4
13.9,2014,3.3,3.3,131,0,8.56,2422.999774,99,0,0.782,0,96,5.54,,0.2,12888.29667,76.2
13.9,2013,3.3,3.3,133,0,8.58,1991.430372,99,0,0.781,0,98,5.33,,0.2,12224.86416,76.1
13.8,2012,3.3,3.3,134,0,8.18,2156.229842,98,0,0.778,0,97,5.39,,0.2,12565.44197,75.9
14.1,2011,3.3,3.3,136,0,7.84,1810.875316,99,0,0.782,0,99,5.65,,0.1,11929.34991,75.7
14.1,2010,3.3,3.3,138,0,7.84,1983.956937,98,0,0.783,0,99,5.63,,0.1,12126.87614,75.6
14.2,2009,3.4,3.3,14,0,7.82,149.3587355,98,0,0.788,0,98,4.86,,0.1,1312.46692,75.4
14.4,2008,3.4,3.3,142,0,8.27,180.7762695,98,0,0.786,0,99,4.69,,0.1,1473.31923,75.2
14.5,2007,3.4,3.3,144,0,8.64,257.9665308,97,0,0.781,0,98,4.27,,0.1,14252.29452,75
14.7,2006,3.4,3.4,145,0,8.93,216.3146941,99,0,0.773,0,99,4.34,,0.1,12724.39377,74.8
0,2005,3.5,3.4,147,0,8.15,1455.608186,99,0,0,0,98,4.41,,0.1,11371.93895,74.6
0,2004,3.5,3.4,149,0,7.28,22.86295206,97,0,0,0,97,4.21,,0.1,1352.8374,74.4
0,2003,3.5,3.5,151,0,7.16,1158.065259,99,0,0,0,99,4.53,,0.1,9739.82556,74.2
0,2002,3.6,3.5,153,0,7.21,927.4075855,99,0,0,0,93,4.41,,0.1,9386.716452,74
0,2001,3.6,3.5,154,0,7.51,163.7676978,96,0,0,0,99,4.48,,0.1,9358.154162,73.8
0,2000,3.7,3.6,156,0,7.27,1127.74347,,0,0,0,96,4.13,,0.1,9875.161736,73.6
17.3,2015,1,0.9,116,8,,0,94,0,0.826,9,93,,43417765,0.1,13467.1236,76.3
17.3,2014,1,0.9,118,8,7.93,847.3717463,94,1,0.825,9,92,4.79,42981515,0.1,12245.25645,76.2
17.3,2013,1,0.9,119,8,8.28,1001.796332,94,0,0.823,10,99,4.99,42539925,0.1,12976.63642,76
17.2,2012,1,0.9,12,9,8.35,1133.558003,91,2,0.822,10,99,5.2,4296739,0.1,12969.7712,75.9
17.1,2011,1,0.9,12,9,8.11,1504.329462,91,3,0.816,10,93,5.89,41656879,0.1,12726.9836,75.7
16.8,2010,1,0.9,121,10,8.15,187.610955,94,17,0.802,11,95,6.55,41223889,0.1,1276.265,75.5
16.5,2009,1,0.9,126,10,8.33,1398.042623,94,3,0.794,11,97,7.63,479947,0.1,8161.36966,75.6
16.3,2008,1,0.9,126,10,8.41,1413.73543,9,0,0.792,11,94,6.66,4382389,0.1,8953.359275,75.4
16.3,2007,1.1,0.9,129,10,8.16,1105.659031,85,0,0.788,12,92,6.49,3997224,0.1,7193.61764,74.8
16.1,2006,1.1,0.9,127,11,7.75,961.1774676,84,0,0.782,12,92,6.68,3955889,0.1,5878.76127,75.2
16.3,2005,1.1,1,127,11,7.53,96.16653429,88,0,0.78,12,95,6.85,39145488,0.1,576.883829,74.9
16.3,2004,1.1,1,13,11,7.63,719.3663797,81,0,0.775,12,91,6.84,38728696,0.1,4251.574348,74.7
16.4,2003,1.2,1,137,11,7.62,57.58467352,73,0,0.77,13,95,8.22,3839379,0.1,333.4376,74.1
16.3,2002,1.2,1,138,12,7.81,470.1869145,66,0,0.776,13,94,8.31,3788937,0.1,2579.193168,74.1
15.6,2001,1.2,1.1,138,12,7.76,123.0128671,,0,0.771,13,85,9.38,3747159,0.1,717.694674,74
15,2000,1.2,1.1,137,12,7.68,1349.025282,,6,0.764,14,88,9.21,3757452,0.1,7669.273916,74.1
12.7,2015,2.1,2.2,118,1,,0,94,33,0.741,1,96,,291695,0.1,369.654776,74.8
12.7,2014,2.1,2.1,12,1,3.91,295.6087143,93,13,0.739,1,95,4.48,29622,0.1,3994.712355,74.6
12.7,2013,2.1,2.1,123,1,3.79,279.4290812,95,10,0.736,1,96,4.55,289359,0.1,3843.591213,74.4
12.7,2012,2,2.1,121,1,3.89,274.1526986,95,0,0.732,1,96,4.48,2881922,0.1,3684.8481,74.4
12.7,2011,2,2.1,128,1,4.09,260.9963826,95,0,0.729,1,96,3.71,2875581,0.1,3526.978143,73.9
12.3,2010,2,2.1,132,1,4.23,224.3212014,94,2,0.72,1,96,4.56,2877311,0.1,3218.381655,73.5
11.9,2009,2,2.1,137,1,3.96,201.1855461,93,0,0.725,1,94,4.55,2888584,0.1,2993.832531,73.3
12.3,2008,2,2.1,14,1,3.96,2.8888979,89,0,0.721,1,91,3.8,29822,0.1,41.26997,73.2
11.7,2007,2,2.1,132,1,3.99,44.57219966,85,1,0.707,1,9,4.31,293356,0.1,3138.8873,73.5
11.2,2006,2,2.1,141,1,4.01,244.5352767,78,137,0.692,1,87,4.58,29585,0.1,2158.299,72.9
10.9,2005,2,2.1,137,1,4.25,20.21822828,91,2281,0.679,1,92,5.25,2981259,0.1,1643.758397,73
10.9,2004,2,2.1,132,1,3.81,97.74087744,91,1783,0.668,1,93,5.5,3612,0.1,1191.96192,73
10.8,2003,2,2.1,134,1,3.03,7.341493148,93,4,0.657,1,96,5.56,31786,0.1,93.1661567,72.7
10.8,2002,2.1,2.1,134,1,2.86,57.17810403,91,40,0.645,1,96,5.4,333897,0.1,783.261699,72.6
11.1,2001,2.1,2.1,141,1,2.86,53.19373012,69,69,0.644,1,97,5.94,35655,0.1,694.435119,72.6
11.2,2000,2.1,2.2,142,1,2.9,32.75626853,55,15,0.639,1,96,6.25,369588,0.1,622.7427477,72
20.4,2015,0.6,0.6,59,1,,0,93,74,0.937,1,93,,23789338,0.1,56554.3876,82.8
20.4,2014,0.6,0.6,6,1,9.71,10769.36305,91,340,0.936,1,92,9.42,2346694,0.1,62214.6912,82.7
20.3,2013,0.6,0.6,61,1,9.87,11734.85381,91,158,0.933,1,91,9.36,23117353,0.1,67792.3386,82.5
20.1,2012,0.6,0.6,61,1,10.03,11714.99858,91,199,0.93,1,92,9.36,22728254,0.1,67677.63477,82.3
19.8,2011,0.6,0.6,63,1,10.3,10986.26527,92,190,0.927,1,92,9.2,223424,0.1,62245.129,82
19.5,2010,0.7,0.6,64,1,10.52,8875.786493,92,70,0.927,1,92,9.2,223175,0.1,51874.848,81.9
19.1,2009,0.7,0.6,66,1,10.62,7172.275229,94,104,0.925,1,92,9.5,216917,0.1,42742.99898,81.7
19.1,2008,0.7,0.6,66,1,10.76,8547.292357,94,65,0.921,1,92,8.78,212492,0.1,49664.6854,81.3
19,2007,0.7,0.6,66,1,10.56,872.5986092,94,11,0.918,2,92,8.53,28276,0.1,4991.98289,81.3
20.3,2006,0.7,0.6,66,1,10.31,6187.062017,95,0,0.915,2,92,8.49,26979,0.1,36118.28381,81.2
20.3,2005,0.7,0.6,67,1,10.3,579.1331637,95,10,0.91,2,92,8.45,23948,0.1,3416.71483,81
20.7,2004,0.7,0.6,69,1,9.84,588.568371,95,70,0.908,1,92,8.57,21274,0.1,3472.37977,86
20.6,2003,0.7,0.7,71,1,9.97,3829.550928,95,91,0.905,1,92,8.32,198954,0.1,23465.38559,83
20.1,2002,0.7,0.7,73,1,9.84,46.3871819,95,32,0.902,2,92,8.39,196514,0.1,281.81763,79.9
20.5,2001,0.7,0.7,75,1,9.53,3064.301144,94,141,0.899,2,91,8.18,19413,0.1,19517.84168,79.9
20.4,2000,0.7,0.7,78,1,10.17,347.18736,,108,0.897,2,9,8.8,19153,0.1,2169.921,79.5
15.9,2015,1.9,2.1,65,0,,0,93,309,0.892,0,93,,8633169,0.1,43665.947,81.5
15.9,2014,1.8,2,66,0,12.32,8350.193523,98,117,0.892,0,98,11.21,8541575,0.1,51322.63997,81.4
15.7,2013,1.8,2,68,0,11.82,90.58501176,95,0,0.887,0,95,11.14,8479375,0.1,554.71532,81.1
15.7,2012,1.8,2,7,0,12.26,7878.372355,92,36,0.884,0,92,11.17,8429991,0.1,48333.57273,88
15.7,2011,1.7,2,73,0,12.04,8272.306757,89,68,0.88,0,89,1.94,8391643,0.1,51126.74139,88
15.4,2010,1.7,1.9,75,0,12.1,7423.228774,86,52,0.872,0,86,11.17,836344,0.1,46657.629,84
15.3,2009,1.7,1.9,77,0,11.3,8053.557638,83,49,0.87,0,83,11.19,8343323,0.1,47654.18721,82
15.1,2008,1.7,1.9,76,0,12,8329.731655,83,448,0.864,0,83,1.6,8321496,0.1,51386.37665,84
15.2,2007,1.7,1.9,8,0,12.5,7453.8644,85,20,0.86,0,85,1.4,8295487,0.1,46586.6525,81
15,2006,1.7,1.9,81,0,12.4,69.92899358,83,23,0.854,0,83,1.35,8268641,0.1,443.99361,79.8
14.9,2005,1.7,1.9,85,0,12.4,5992.588029,86,9,0.848,0,86,1.53,8227829,0.1,38242.4252,79.4
14.7,2004,1.7,1.9,86,0,12.1,5316.877456,83,15,0.841,0,83,1.56,8171966,0.1,36693.4262,79.3
14.7,2003,1.7,1.9,88,0,12.2,504.4308735,83,90,0.837,0,84,1.48,8121423,0.1,3212.9355,78.8
16.1,2002,1.7,1.9,9,0,12.5,3979.057728,81,0,0.847,0,82,1.27,881957,0.1,26351.37568,78.7
15.5,2001,1.7,1.9,92,0,12.4,3582.848308,44,0,0.837,0,83,1.12,842293,0.1,24489.73553,78.6
15.4,2000,1.7,1.9,96,0,13.2,3557.455507,33,0,0.833,0,71,1.6,811566,0.1,24517.26745,78.1
12.7,2015,2.8,2.9,118,5,,0,96,0,0.758,6,98,,9649341,0.1,55.31382,72.7
12.2,2014,2.8,2.9,119,5,0.01,306.1824313,94,0,0.752,6,97,6.4,953579,0.1,7891.299776,72.5
11.9,2013,2.8,2.8,121,5,2.14,275.6514934,93,164,0.745,6,96,5.54,941681,0.1,7875.756953,72.2
11.8,2012,2.8,2.8,123,5,0.01,285.6103912,88,0,0.742,6,92,5.37,9295784,0.1,7496.335728,71.9
11.7,2011,2.8,2.9,125,5,1.98,263.142699,84,0,0.741,6,91,5.1,917382,0.1,7189.691229,71.6
11.7,2010,2.8,2.9,13,5,1.98,246.5686008,8,0,0.737,6,85,5.33,954332,0.1,5842.85784,71.1
11.6,2009,2.8,2.9,132,6,2.1,22.48638351,74,0,0.728,6,84,5.85,8947243,0.1,495.294791,78
11.6,2008,2.8,2.9,141,6,1.18,206.2616134,68,5,0.719,6,85,4.37,87634,0.1,5574.6382,73
11.6,2007,2.8,2.9,14,6,1.02,176.0107106,62,0,0.708,7,81,5.1,85813,0.1,3851.437869,73
10.7,2006,2.9,2.9,154,6,0.85,105.6337264,52,222,0.682,7,8,6.17,848455,0.1,2473.85776,69.2
11.2,2005,2.9,3,162,6,0.73,81.28883085,49,1238,0.675,7,79,7.86,839185,0.1,1578.4239,68.4
11,2004,3,3,154,6,0.62,8.59680496,5,827,0.668,8,78,7.92,8365,0.1,145.2163,68.4
10.8,2003,3,3,154,7,0.55,42.41491183,51,1978,0.659,8,79,6.56,82341,0.1,883.6439965,67.8
10.6,2002,3.1,3.1,146,7,0.55,39.33253687,5,4353,0.651,9,8,4.47,817195,0.1,763.73858,67.8
10.4,2001,3.1,3.1,151,8,0.51,4.104190077,,574,0.642,10,77,4.48,81112,0.1,73.6838434,67.5
10.1,2000,3.2,3.1,16,9,0.65,35.09462644,,210,0.636,11,75,4.67,8486,0.1,655.974326,66.6
12.6,2015,2.5,2.5,147,0,,0,95,0,0.79,0,95,,,0.1,,76.1
12.6,2014,2.5,2.5,16,0,9.45,0,96,0,0.789,0,96,7.74,,0.1,,75.4
12.6,2013,2.5,2.5,172,0,9.42,0,97,0,0.79,0,97,7.5,,0.1,,74.8
12.6,2012,2.5,2.5,167,0,9.5,0,96,0,0.789,0,99,7.43,,0.2,,74.9
12.6,2011,2.5,2.5,162,0,9.34,0,95,0,0.788,0,97,7.63,,0.1,,75
12.6,2010,2.5,2.5,161,0,9.19,0,98,0,0.788,0,97,7.44,,0.2,,75
12.6,2009,2.5,2.5,168,0,9.29,0,95,0,0.791,0,97,7.43,,0.1,,74.6
12.6,2008,2.5,2.5,167,0,10.15,0,9,0,0.791,0,93,7.3,,0.1,,74.5
12.5,2007,2.5,2.5,167,0,10.75,0,93,0,0.79,0,95,7.8,,0.1,,74.4
12.4,2006,2.5,2.5,171,0,11.07,0,96,0,0.788,0,94,6.93,,0.1,,74.2
12.4,2005,2.6,2.5,172,0,10.49,0,93,0,0.786,0,93,5.95,,0.1,,74.1
12.3,2004,2.6,2.5,174,0,10.1,0,93,0,0.784,0,92,6.2,,0.1,,73.8
12.2,2003,2.6,2.5,189,0,10.68,0,88,0,0.783,0,93,5.62,,0.1,,73.2
12.1,2002,2.6,2.6,19,0,10.85,0,89,0,0.781,0,93,5.26,,0.1,,73.1
12.1,2001,2.7,2.6,189,0,11.64,0,21,0,0.779,0,98,5.15,,0.2,,72.9
12,2000,2.7,2.6,192,0,12.15,0,,0,0,0,91,5.21,,0.1,,72.6
14.5,2015,6.2,6.1,69,0,,0,98,0,0.823,0,98,,,0.1,22688.87824,76.9
14.5,2014,6.1,6,7,0,1.57,367.2556742,98,46,0.82,0,98,4.98,,0.1,24983.3792,76.8
14.5,2013,6.1,6,7,0,1.65,3.968695982,99,0,0.815,0,99,4.69,,0.1,251.18329,76.7
14.5,2012,6.1,6,71,0,1.7,2211.215778,99,0,0.812,0,99,4.37,,0.1,23649.36661,76.5
14.4,2011,6.1,6,76,0,1.66,197.7734681,99,0,0.812,0,99,3.4,,0.1,2281.1242,76.1
14.4,2010,6,5.9,73,0,1.93,266.7696122,99,0,0.81,0,99,3.64,,0.1,2722.1389,76.1
14.4,2009,6,5.9,74,0,1.95,332.9347646,98,3,0.814,0,97,3.79,,0.1,19356.67236,76
14.4,2008,6,5.9,76,0,2,231.5478912,97,2,0.815,0,97,3.17,,0.1,2367.56535,75.8
14.4,2007,6.1,5.9,77,0,2,278.3602806,97,7,0.813,0,97,3.8,,0.1,2977.1153,75.6
14.2,2006,6.1,5.9,79,0,2.1,170.7374027,98,3,0.81,0,98,3.8,,0.1,1937.99549,75.5
14,2005,6.1,5.9,81,0,2.05,1553.468944,98,4,0.806,0,98,3.16,,0.1,17959.17854,75.3
13.9,2004,6.1,5.9,83,0,2.16,1380.228095,98,11,0.803,0,98,3.37,,0.1,15846.47641,75.2
13.7,2003,6.1,5.9,85,0,2.16,1214.558167,98,12,0.798,0,97,3.74,,0.1,14221.99259,75
13.5,2002,6.2,5.9,87,0,1.99,106.4303336,98,8,0.796,0,98,3.89,,0.1,1312.33457,74.9
13.3,2001,6.2,6,9,0,1.95,1150.418063,99,5,0.794,0,99,3.8,,0.1,12868.211,74.7
13.2,2000,6.2,6,92,0,2.15,167.7270642,97,6,0.786,0,97,3.51,,0.1,13636.34668,74.5
10.2,2015,17.9,18.3,129,92,,0,97,240,0.575,113,97,,1612886,0.1,121.15812,71.8
10,2014,18.1,18.6,132,98,0.01,10.44640334,97,289,0.57,121,97,2.82,15945279,0.1,184.56543,71.4
10,2013,18.3,18.8,135,104,0.01,52.82986467,96,237,0.565,130,96,2.88,157571292,0.1,951.8894535,71
9.9,2012,18.5,19,137,111,0.01,59.2589257,94,1986,0.557,139,94,3.8,15572753,0.1,856.342857,77
9.4,2011,18.7,19.2,14,118,0.01,62.34988484,96,5625,0.545,150,96,3.16,153911916,0.1,835.789341,73
8.9,2010,18.9,19.4,142,126,0.01,62.65945432,94,788,0.535,161,94,3.6,15214912,0.1,757.6717572,69.9
8.4,2009,19.1,19.7,144,135,0.01,53.26400378,97,718,0.523,173,97,2.91,1545478,0.1,681.125368,69.5
8.6,2008,19.3,19.9,147,144,0.01,42.48865034,96,2660,0.52,186,96,2.85,14885814,0.1,615.7775411,69.1
8.6,2007,19.5,2.1,151,154,0.01,46.36536703,95,2924,0.513,201,96,2.8,147139191,0.1,541.651484,68.6
8.4,2006,19.7,2.3,152,164,0.01,42.3304549,86,6192,0.506,215,95,2.8,1453684,0.1,494.51466,68.2
8.2,2005,19.9,2.5,155,174,0.01,38.05462002,45,25934,0.499,231,94,2.68,14343111,0.1,484.155471,67.8
8.1,2004,2.1,2.7,158,185,0.01,4.11469667,11,9743,0.491,247,88,2.62,14137489,0.1,46.7579167,67.3
7.9,2003,2.3,2.9,161,196,0.01,35.48458957,5,4067,0.484,264,9,2.51,139191,0.1,432.7388972,66.8
7.7,2002,2.5,21.1,164,207,0.01,0.397228764,,3484,0.476,280,83,2.59,1366667,0.1,4.6135745,66.3
7.5,2001,2.7,21.3,168,219,0.01,3.395069781,,4414,0.468,298,85,2.47,1341716,0.1,42.5981152,65.8
7.3,2000,2.9,21.5,173,231,0.01,3.69633051,,5098,0.459,316,83,2.33,131581243,0.1,45.63371,65.3
15.3,2015,3.8,3.7,98,0,,0,97,0,0.794,0,97,,,0.1,15557.8381,75.5
15.3,2014,3.8,3.7,1,0,8.82,294.9056584,94,0,0.793,0,95,7.47,,0.1,15359.66971,75.4
15.3,2013,3.8,3.8,11,0,8.74,263.0372838,91,0,0.792,0,91,7.57,,0.1,15472.7814,75.2
15.3,2012,3.8,3.8,12,0,8.61,260.0043858,87,0,0.785,0,88,7.43,,0.1,15384.8749,75.1
15.5,2011,3.8,3.8,14,0,8.51,173.9825629,91,0,0.78,0,91,6.67,,0.1,15534.1574,74.9
15.8,2010,3.8,3.8,16,0,8.41,154.9630863,86,0,0.781,0,9,6.17,,0.1,1595.91232,74.7
15.5,2009,3.8,3.8,19,0,8.46,327.1618128,93,0,0.779,0,93,6.21,,0.1,16523.32388,74.6
15.3,2008,3.9,3.9,111,0,8.95,25.52277112,85,0,0.775,0,85,6.1,,0.1,1657.3228,74.4
15,2007,3.9,3.9,113,0,8.47,1641.30981,93,0,0.771,0,93,5.64,,0.1,16462.48556,74.2
14.8,2006,4,3.9,115,0,8.39,181.5000856,84,0,0.766,0,85,5.27,,0.1,15646.5591,74.1
14.6,2005,4,4,117,0,8.01,1311.440423,92,0,0.761,0,91,5.38,,0.1,14223.86576,73.9
14.4,2004,4.1,4,119,0,7.68,166.0083443,93,0,0.757,0,93,5.71,,0.2,12868.8639,73.8
14.2,2003,4.1,4.1,121,0,7.65,13.5139917,91,0,0.753,0,9,5.82,,0.4,1228.5447,73.7
14,2002,4.2,4.1,123,0,7.59,133.099491,66,0,0.749,0,86,5.76,,0.8,11675.39395,73.5
14,2001,4.2,4.2,125,0,7.38,138.1664627,18,0,0.75,0,93,5.47,,0.7,11513.87189,73.4
14,2000,4.3,4.2,127,0,7.43,1140.615754,,0,0.741,0,86,5.16,,0.9,11568.1111,73.3
15.6,2015,1.9,2,196,0,,0,99,2,0.798,0,99,,9489616,0.1,5949.11677,72.3
15.7,2014,1.9,2,199,0,13.94,1147.1114,97,64,0.796,0,97,5.69,9474511,0.1,8318.429294,72
15.7,2013,2,2,23,0,14.66,1109.854619,98,16,0.796,1,98,6.7,9465997,0.1,7978.825443,71.7
15.6,2012,2,2.1,194,0,16.35,91.70962117,97,10,0.793,1,98,5.1,9464495,0.1,694.243915,71.9
15.5,2011,2,2.1,232,0,17.31,846.9113071,98,50,0.787,1,98,4.92,9473172,0.1,6519.71753,72
15.5,2010,2,2.2,222,0,14.44,8.49409518,96,1,0.78,1,99,5.55,949583,0.1,63.38877,73
15.4,2009,2.1,2.2,226,0,14.09,434.7985025,98,0,0.771,1,98,6.9,956765,0.1,5176.172649,70
15.1,2008,2.1,2.3,224,1,14.67,501.8056141,98,0,0.755,1,98,5.95,9527985,0.1,6376.183153,70
